dates,VAX_count,day,sdm,events,I_1,I_2,I_3,Y_1,Y_2,Y_3,V_1,V_2,V_3,Infected,Y,V,logV
2020-05-05,0,56,0.086,0,32,7,118,2,1,2,57938.47161613359,11501.134898520362,189801.89026339806,157,5,81175.39186500965,11.304367424369431
2020-05-06,0,57,0.086,0,33,6,117,0,0,2,67377.52563340645,11494.46902186505,204832.59048698755,156,2,88142.09263084686,11.386705480238565
2020-05-07,0,58,0.086,0,34,6,119,0,0,3,64925.05381382383,10004.220541534214,226213.3160358497,159,3,96099.28646476164,11.473137170006382
2020-05-08,0,59,0.086,0,33,4,122,1,0,5,59712.77551476383,10260.191610975837,221384.84948481736,159,6,91376.90814050549,11.422748079356674
2020-05-09,0,60,0.086,0,29,3,122,2,0,2,57918.290811692634,10106.581327873591,199843.0392486613,154,4,81739.13815837608,11.31128821336775
2020-05-10,0,61,0.086,0,28,3,119,2,0,3,62521.61744749471,6012.98902758056,187009.69673183814,150,5,80061.35230277038,11.290548523520204
2020-05-11,0,62,0.086,0,27,3,116,0,0,4,62994.946711917226,3220.175605231432,164817.11214641773,146,4,71567.19318155474,11.17839205215663
2020-05-12,0,63,0.086,0,27,2,113,0,0,1,69268.43223271822,2044.8100715525507,168000.22171202052,142,1,75418.8340284047,11.230812310979305
2020-05-13,0,64,0.086,0,27,2,113,2,1,3,51404.001080244925,2006.9275280344837,177429.6988230929,142,6,71179.43538888927,11.172959226873258
2020-05-14,0,65,0.086,0,28,2,107,2,0,2,35511.380114330306,2000.763825624874,188830.70456276258,137,4,69090.65521725955,11.14317476497036
2020-05-15,0,66,0.089,0,27,2,103,1,0,2,27877.878637595204,2000.0564859603596,200421.93990877367,132,3,73360.81973883865,11.203145281061463
2020-05-16,0,67,0.089,0,26,3,97,1,0,1,30449.276570357157,2000.002519034414,160356.95066384133,126,2,60562.85083451314,11.01143696154948
2020-05-17,0,68,0.089,0,25,3,99,0,0,2,38475.46996307464,3996.821662375997,152471.20993732757,127,2,61521.33341965253,11.02713927851636
2020-05-18,0,69,0.089,0,24,2,100,0,0,4,42162.00701469087,7322.710838196729,184698.60427016727,126,4,73536.2702104273,11.20553403573425
2020-05-19,0,70,0.089,0,25,2,99,3,0,1,40338.34714480329,9597.797398431263,188220.645682104,126,4,77059.65630739491,11.252335158105252
2020-05-20,0,71,0.089,0,22,1,97,1,0,5,30740.768562641184,4196.863116985792,168175.29130760496,120,6,63828.77871422961,11.063959444653765
2020-05-21,0,72,0.089,0,22,1,94,0,0,2,26425.93861659222,1172.7727522602527,154420.74861644767,117,2,58194.74882196463,10.971550403222155
2020-05-22,0,73,0.089,0,19,1,95,0,0,2,19114.265574867644,1026.917712035246,147079.46233800732,115,2,52505.27639273285,10.868668946248377
2020-05-23,0,74,0.089,0,16,1,95,0,0,3,15460.257439803725,1002.5328979162699,132541.41518822886,112,3,48126.21303076508,10.781582277106503
2020-05-24,0,75,0.089,0,15,1,91,1,0,1,18497.751989158114,1000.1054095358921,130564.94197492678,107,2,47766.24969999583,10.774074595870609
2020-05-25,0,76,0.089,0,13,0,87,0,0,2,17529.97324508479,0,136709.23745062525,100,2,49791.89681343652,10.815607535183661
2020-05-26,0,77,0.089,0,12,0,87,0,0,5,12842.379587613841,0,139308.5674459808,99,5,46951.50958653097,10.756870637187262
2020-05-27,0,78,0.089,0,12,0,86,0,0,2,10520.098633858,0,130989.1554606502,98,2,45073.16007076842,10.71604222795427
2020-05-28,0,79,0.089,0,9,0,85,0,0,3,13095.19728698709,0,124186.42425793534,94,3,44074.41822634447,10.693634807549788
2020-05-29,0,80,0.089,0,9,0,80,0,0,2,34032.32271212235,0,121007.40872030822,89,2,47073.68710261789,10.759469463654074
2020-05-30,0,81,0.089,0,6,0,78,0,0,2,17638.499127784555,0,133942.11189223037,84,2,45951.94897787575,10.735351542072054
2020-05-31,0,82,0.089,0,4,0,78,0,0,1,5622.572203110708,0,157774.88090774932,82,1,52841.2740724588,10.875047870239193
2020-06-01,0,83,0.089,0,5,0,77,0,0,0,5503.6548196988315,0,132218.77024083174,82,0,42802.235498416136,10.664345611477287
2020-06-02,0,84,0.089,0,5,0,73,0,0,4,9517.50820620748,0,111670.46591342105,78,4,36890.72280884468,10.515715384024269
2020-06-03,0,85,0.089,0,4,0,67,0,0,2,9456.079781623797,0,101294.71274258218,71,2,34407.72765142783,10.44603645916335
2020-06-04,0,86,0.089,0,4,0,68,0,0,2,7984.285014989804,0,104183.50476191725,72,2,35929.70683142121,10.48931972063707
2020-06-05,0,87,0.089,0,4,0,63,0,0,1,9652.955696447627,0,107405.05818278878,67,1,37635.394778956936,10.535700237089634
2020-06-06,0,88,0.089,0,3,0,61,0,0,1,9786.946210314418,0,108653.83586942524,64,1,35686.83266798669,10.482537066902669
2020-06-07,0,89,0.089,0,3,0,60,0,0,2,5920.762094706662,0,111576.34173831383,63,2,35388.08508724237,10.474130463009857
2020-06-08,0,90,0.089,0,3,0,55,0,0,5,3218.5897020960965,0,94737.31473129475,58,5,31150.20149561543,10.346575992753761
2020-06-09,0,91,0.089,0,3,0,51,0,0,2,3047.076705372169,0,93925.41602062099,54,2,30513.13142714188,10.32591240853517
2020-06-10,0,92,0.089,0,3,0,51,0,0,2,3007.9030627951843,0,86727.0977675464,54,2,27333.829823526674,10.215880401688677
2020-06-11,0,93,0.089,0,4,0,52,0,0,0,3000.983506855195,0,63904.42734207793,56,0,20901.506471512523,9.947576515331942
2020-06-12,0,94,0.8,0.1,4,0,51,1,0,2,3000.087336400295,0,58468.74920749095,55,3,18513.377270694902,9.826248845471909
2020-06-13,0,95,0.8,0.1,4,0,54,0,0,1,3000.0052384623086,0,69169.37611202031,58,1,21688.839784816326,9.984553111602608
2020-06-14,0,96,0.8,0.1,4,0,51,0,0,0,3000.0001904581836,0,64645.08005172795,55,0,21020.309688322835,9.953244377353945
2020-06-15,0,97,0.8,0.1,4,0,52,0,0,2,5221.416752485342,0,58375.47342272902,56,2,19564.42311921282,9.881468048864186
2020-06-16,0,98,0.8,0.1,2,0,50,0,0,1,7438.7777043060505,0,59987.03341704996,52,1,21395.822571278553,9.970950975004985
2020-06-17,0,99,0.8,0.1,2,0,45,0,0,0,8519.755456524474,0,66897.71332975564,47,0,22669.945022646112,10.028795318383773
2020-06-18,0,100,0.8,0.1,2,0,47,0,0,0,4838.272563909273,0,79847.1116948668,49,0,26488.505430255704,10.184466160525542
2020-06-19,0,101,0.8,0.1,2,0,48,0,0,1,2228.126128808571,0,88946.6343402954,50,1,27533.636854170632,10.223163694539423
2020-06-20,0,102,0.8,0.1,3,0,48,0,0,2,2052.714834253708,0,89080.6422808554,51,2,27520.523103169173,10.222687299975973
2020-06-21,0,103,0.8,0.1,3,0,54,0,0,2,2009.8332477269855,0,91019.97244778041,57,2,27933.585846103513,10.237585037597848
2020-06-22,0,104,0.8,0.1,3,0,57,1,0,1,2001.4280293253332,0,87345.98907524359,60,2,28873.521989029105,10.27068025998689
2020-06-23,0,105,0.8,0.1,4,0,60,0,0,2,2000.1585693109096,0,95110.2605875518,64,2,29712.52286345465,10.299323881157582
2020-06-24,0,106,0.8,0.1,4,0,64,0,0,2,2000.1585693109096,0,111832.4424595947,68,2,34407.459226731204,10.446028657841904
2020-06-25,0,107,0.8,0.1,4,0,68,0,0,2,4260.641651549331,0,122455.49963485339,72,2,38607.97588755198,10.561214163319239
2020-06-26,0,108,0.8,0.1,4,0,70,0,0,4,10755.000446317114,0,115637.63932104646,74,4,39388.85037108833,10.581238069732699
